Iteration k = 1 | AWA = 80º
Elapsed time is 4.344001 seconds.
Iteration k = 1 | AWA = 80º
Iteration k = 2 | AWA = 8.102273e+01º
Iteration k = 3 | AWA = 8.204545e+01º
Iteration k = 4 | AWA = 8.306818e+01º
Iteration k = 5 | AWA = 8.409091e+01º
Iteration k = 6 | AWA = 8.511364e+01º
Iteration k = 7 | AWA = 8.613636e+01º
Iteration k = 8 | AWA = 8.715909e+01º
Iteration k = 9 | AWA = 8.818182e+01º
Iteration k = 10 | AWA = 8.920455e+01º
Iteration k = 11 | AWA = 9.022727e+01º
Iteration k = 12 | AWA = 9.125000e+01º
Iteration k = 13 | AWA = 9.227273e+01º
Iteration k = 14 | AWA = 9.329545e+01º
Iteration k = 15 | AWA = 9.431818e+01º
Iteration k = 16 | AWA = 9.534091e+01º
Iteration k = 17 | AWA = 9.636364e+01º
Iteration k = 18 | AWA = 9.738636e+01º
Iteration k = 19 | AWA = 9.840909e+01º
Iteration k = 20 | AWA = 9.943182e+01º
Iteration k = 21 | AWA = 1.004545e+02º
Iteration k = 22 | AWA = 1.014773e+02º
Iteration k = 23 | AWA = 1.025000e+02º
Iteration k = 24 | AWA = 1.035227e+02º
Iteration k = 25 | AWA = 1.045455e+02º
Iteration k = 26 | AWA = 1.055682e+02º
Iteration k = 27 | AWA = 1.065909e+02º
Iteration k = 28 | AWA = 1.076136e+02º
Iteration k = 29 | AWA = 1.086364e+02º
Iteration k = 30 | AWA = 1.096591e+02º
Iteration k = 31 | AWA = 1.106818e+02º
Iteration k = 32 | AWA = 1.117045e+02º
Iteration k = 33 | AWA = 1.127273e+02º
Iteration k = 34 | AWA = 1.137500e+02º
Iteration k = 35 | AWA = 1.147727e+02º
Iteration k = 36 | AWA = 1.157955e+02º
Iteration k = 37 | AWA = 1.168182e+02º
Iteration k = 38 | AWA = 1.178409e+02º
Iteration k = 39 | AWA = 1.188636e+02º
Iteration k = 40 | AWA = 1.198864e+02º
Iteration k = 41 | AWA = 1.209091e+02º
Iteration k = 42 | AWA = 1.219318e+02º
Iteration k = 43 | AWA = 1.229545e+02º
Iteration k = 44 | AWA = 1.239773e+02º
Iteration k = 45 | AWA = 1.250000e+02º
Elapsed time is 3216.060566 seconds.
